JobTitle,HiringCompany,Location,EmploymentType,Salary,JobFunction,DatePosted
Internal Security Guard,DTRT Apparel,Accra & Tema Region,Full Time,Not Available,Health & Safety,2 weeks ago
Security Guard,Jobberman Third Party,Accra & Tema Region,Full Time,Not Available,Health & Safety,2 days ago
Driver,Jobberman Third Party,Accra & Tema Region,Full Time,Not Available,Driver & Transport Services,2 days ago
Welder,Jobberman Third Party,Accra & Tema Region,Full Time,"GHS 900 - 1,200",Engineering & Technology,2 days ago
Software Engineer,GenKey Africa Limited,Accra & Tema Region,Full Time,Not Available,Software & Data,2 days ago
Technology Educator,BASICS International,Accra & Tema Region,Full Time,Not Available,Engineering & Technology,2 days ago
Account Officer,Manbah Gas Co. Ltd.,Accra & Tema Region,Full Time,"GHS 1,200 - 1,500","Accounting, Auditing & Finance",2 days ago
Security Guard,Renault Ghana/ Premium Motors Limited,Accra & Tema Region,Full Time,Not Available,Health & Safety,3 days ago
Driver,Jobberman Third Party,Accra & Tema Region,Full Time,Not Available,Driver & Transport Services,3 days ago
Solar Power Installation Technician,AGIC ENERGY,Accra & Tema Region,Full Time,Not Available,Engineering & Technology,3 days ago
Project Sales Manager,Sunsum Tech ltd.,Accra & Tema Region,Full Time,"GHS 3,600 - 4,200",Product & Project Management,3 days ago
"Full Stack Developer, Senior",Booz Allen,Remote (Work From Home),Full Time,Not Available,Software & Data,4 days ago
Head of Financial Control,Bayport Savings and Loans PLC,Accra & Tema Region,Full Time,Not Available,"Accounting, Auditing & Finance",4 days ago
Sales and Marketing Officer,Imperial Facility Management and Support Service,Accra & Tema Region,Full Time,Not Available,Hospitality & Leisure,5 days ago
Digital Marketing Specialist/Graphic Designer,Accra Auction Cars,Accra & Tema Region,Full Time,Not Available,Marketing & Communications,5 days ago
Sales Girl,Juzz code,Accra & Tema Region,Full Time,Not Available,Sales,5 days ago
Driver,Jobberman Third Party,Accra & Tema Region,Full Time,Not Available,Driver & Transport Services,5 days ago
Internal Security Guard,DTRT Apparel,Accra & Tema Region,Full Time,Not Available,Health & Safety,2 weeks ago
Security Guard,Jobberman Third Party,Accra & Tema Region,Full Time,Not Available,Health & Safety,5 days ago
IT Project Manager,BIC Technologies Ltd,Accra & Tema Region,Full Time,"GHS 3,000 - 3,600",Software & Data,5 days ago
Head Chef,Wheel Bar,Accra & Tema Region,Full Time,Not Available,Food Services & Catering,5 days ago
Mobile Insurance Sales Associates,Anonymous Employer,Rest of Ghana,Full Time,Not Available,Sales,6 days ago
